lemma	freq	stratum	donors	sources	verdict	note
egész	707186	ancient	Alanic	borrowed		
lett	664066	modern	German	borrowed		
világ	405708	ancient	Slavic languages	semantic		
idő	360256	ancient	Turkic languages	borrowed		
dolog	349141	ancient	Slavic languages	borrowed		
szabad	334565	ancient	Slavic languages	borrowed		
úr	308520	ancient	Turkic languages	borrowed		
törvény	308290	ancient	Turkic languages	borrowed		
internet	306597	modern	English	borrowed		
szent	293271	ancient	Slavic languages	borrowed		
október	290638	modern	Latin	borrowed		
film	284282	modern	English	borrowed		
pont	271763	modern	German	borrowed		
kormány	264988	ancient	Slavic languages	borrowed		
munka	247703	ancient	Slavic languages	borrowed		
web	230096	modern	English	borrowed		
kép	222791	ancient	Turkic languages	borrowed		
von	213369	unclassified	Korean	borrowed		
iskola	197686	modern	Latin	borrowed		
baj	179180	ancient	Serbo-Croatian	borrowed		
online	176943	modern	English	borrowed		
szeptember	171099	modern	Latin	borrowed		
király	167515	ancient	South Slavic languages	borrowed		
betű	166476	ancient	Turkic languages	borrowed		
november	160819	modern	Latin	borrowed		
modern	155956	modern	English|German	borrowed		
téma	153766	modern	Latin	borrowed		
elektronikus	146707	modern	English	borrowed		
autó	146174	modern	German	borrowed		
olasz	140237	ancient	Serbo-Croatian	borrowed		
család	140222	ancient	Slavic languages	borrowed		
szám	138811	ancient	Turkic languages	borrowed		
vendég	137663	ancient	Alanic|Old Italian	borrowed		
civil	134536	modern	German	borrowed		
május	132573	modern	Latin	borrowed		
tiszta	130643	ancient	Slavic languages	borrowed		
link	129672	modern	English|Yiddish	borrowed		
december	124006	modern	Latin	borrowed		
gyermek	123009	ancient	Turkic languages	borrowed		
meleg	122955	modern	German	semantic		
ezer	122514	ancient	Alanic	borrowed		
január	119451	modern	Latin	borrowed		
regisztráció	118472	modern	New Latin	borrowed		
pénz	117384	ancient	Slavic languages	borrowed		
március	117148	modern	Latin	borrowed		
augusztus	117070	modern	Latin	borrowed		
darab	115992	ancient	Slavic languages	borrowed		
unió	115839	modern	Late Latin	borrowed		
június	113940	modern	Latin	borrowed		
keresztény	112747	ancient	Slavic languages	borrowed		
július	111389	modern	Latin	borrowed		
hiba	109770	ancient	Slavic languages	borrowed		
információ	109130	modern	Latin	borrowed		
gyula	108312	unclassified	Oghur languages	borrowed		
zöld	108002	ancient	Alanic	borrowed		
párt	107986	unclassified	Middle High German	borrowed		
katolikus	106546	modern	Latin	borrowed		
konkrét	106545	modern	German	borrowed		
április	106522	modern	Latin	borrowed		
orosz	106329	ancient	Turkic languages	borrowed		
tag	105537	modern	English	borrowed		
cél	104614	unclassified	Middle High German	borrowed		
friss	102617	modern	German	borrowed		
lép	101622	ancient	Slovak|Slovene	borrowed		
utca	98544	ancient	Slavic languages	borrowed		
gazdag	97552	ancient	Alanic	borrowed		
szoftver	95198	modern	English	borrowed		
rádió	94374	modern	German	borrowed		
klasszikus	91134	modern	Latin	borrowed		
part	89747	modern	Italian	borrowed		
február	85123	modern	Latin	borrowed		
kernel	84380	modern	English	borrowed		
design	83416	modern	English	borrowed		
partner	83158	modern	English	borrowed		
